date;price
20100727;162.1000000
20100728;164.8000000
20100729;162.3200000
20100730;164.5000000
20100802;163.9900000
20100803;169.4800000
20100804;165.6500000
20100805;167.5500000
20100806;167.6100000
20100809;167.7400000
20100810;168.7800000
20100811;165.1400000
20100812;161.8500000
20100813;163.4100000
20100816;161.1900000
20100817;163.3700000
20100818;163.9000000
20100819;163.5000000
20100820;160.1000000
20100823;159.2500000
20100824;157.8200000
20100825;156.6000000
20100826;157.4200000
20100827;157.9100000
20100830;159.9500000
20100831;157.5400000
20100901;159.6000000
20100902;161.7900000
20100903;162.9900000
20100906;164.1100000
20100907;162.4500000
20100908;160.8700000
20100909;163.7000000
20100910;165.3400000
20100913;166.2400000
20100914;164.5100000
20100915;162.9500000
20100916;163.0700000
20100917;164.6000000
20100920;162.4700000
20100921;163.3700000
20100922;162.9500000
20100923;161.0900000
20100924;158.7700000
20100927;159.4700000
20100928;157.0700000
20100929;157.5000000
20100930;157.8500000
20101001;160.0000000
20101004;161.4000000
20101005;162.0000000
20101006;163.5000000
20101007;163.2700000
20101008;162.2800000
20101011;164.0100000
20101012;163.4000000
20101013;163.8600000
20101014;165.5300000
20101015;162.3500000
20101018;160.2400000
20101019;163.3900000
20101020;161.4700000
20101021;162.1100000
20101022;165.3000000
20101025;170.0100000
20101026;169.5500000
20101027;168.1500000
20101028;167.7100000
20101029;166.8200000
20101101;169.9900000
20101102;169.9300000
20101103;170.2600000
20101108;174.3800000
20101109;174.0200000
20101110;175.0400000
20101111;175.3900000
20101112;170.9900000
20101113;171.1800000
20101115;172.0000000
20101116;170.8200000
20101117;168.4500000
20101118;169.5700000
20101119;170.6900000
20101122;172.9800000
20101123;168.9700000
20101124;168.2000000
20101125;170.5000000
20101126;171.8300000
20101129;175.5000000
20101130;173.6600000
20101201;174.7000000
20101202;184.0500000
20101203;189.2000000
20101206;191.1100000
20101207;194.9900000
20101208;191.3500000
20101209;192.8500000
20101210;192.8300000
20101213;194.1000000
20101214;195.0400000
20101215;196.5600000
20101216;194.6600000
20101217;194.0000000
20101220;193.8400000
20101221;195.2500000
20101222;196.2100000
20101223;197.1100000
20101224;196.3900000
20101227;195.0800000
20101228;195.1900000
20101229;194.7100000
20101230;192.5200000
20110111;193.9200000
20110112;194.9800000
20110113;200.6500000
20110114;196.8900000
20110117;195.9900000
20110118;199.0000000
20110119;199.6400000
20110120;196.5300000
20110121;194.6800000
20110124;193.5700000
20110125;190.4200000
20110126;190.8000000
20110127;197.8800000
20110128;200.5300000
20110131;198.4800000
20110201;198.4300000
20110202;205.5000000
20110203;210.4200000
20110204;208.3000000
20110207;213.9000000
20110208;213.2000000
20110209;211.5400000
20110210;214.0300000
20110211;208.3100000
20110214;210.0100000
20110215;203.7100000
20110216;200.0200000
20110217;200.5200000
20110218;196.2800000
20110221;196.2900000
20110222;197.5000000
20110224;199.8000000
20110225;208.9000000
20110228;210.2900000
20110301;212.3700000
20110302;208.3000000
20110303;212.6200000
20110304;214.2400000
20110305;213.0800000
20110309;214.3900000
20110310;213.5500000
20110311;205.9000000
20110314;208.0900000
20110315;212.9900000
20110316;219.3400000
